id,author_id,orgName,persName,forename,surname,addname
Moreau2157_GBOOKS,isni:0000000383255772,,Louis XIV,,,
Moreau2160_GBOOKS,isni:0000000383255772,,Louis XIV,,,
Moreau2132_GALL,isni:0000000110632827,,,Nicolas,Caussin,
Moreau2188_MAZ,isni:0000000383255772,,Louis XIV,,,
Moreau2129_GBOOKS,isni:0000000118675506,,Charles II d'Angleterre,,,
Moreau2113_GBOOKS,isni:0000000121204991,,,Mathieu,Molé,
Moreau2146_GBOOKS,isni:0000000373848590,,Philippe IV d'Espagne,,,
Moreau2168_GBOOKS,isni:0000000383255772,,Louis XIV,,,
Moreau2116_GBOOKS,isni:0000000079773129,,,Antoine d',Aumont de Rochebaron,
Moreau2143_GBOOKS,isni:0000000383255772,,Louis XIV,,,
Moreau2164_MAZ,isni:0000000383255772,,Louis XIV,,,
Moreau2107_GBOOKS,isni:0000000121428928,,"Charles IV, duc de Lorraine",,,
Moreau2130_GBOOKS,,,,,,
Moreau2149_GBOOKS,isni:0000000383255772,,Louis XIV,,,
Moreau2181_GBOOKS,isni:0000000383255772,,Louis XIV,,,
Moreau2155_GBOOKS,isni:0000000383255772,,Louis XIV,,,
Moreau2126_GBOOKS,isni:0000000121801163,Parlement de Metz,,,,
Moreau2111_GBOOKS,isni:0000000054895613,,"Eberhard III, duc de Wurtemberg",,,
Moreau2140_MAZ,isni:0000000383255772,,Louis XIV,,,
Moreau2144_GBOOKS,isni:0000000373848590,,Philippe IV d'Espagne,,,
Moreau2173_GBOOKS,isni:0000000383255772,,Louis XIV,,,
Moreau2158_GBOOKS,isni:0000000383255772,,Louis XIV,,,
Moreau2114_GBOOKS,isni:0000000116103555,,Mehmed IV,,,
Moreau2123_GBOOKS,isni:0000000119572170,Parlement de Bordeaux,,,,
Moreau2176_GBOOKS,isni:0000000383255772,,Louis XIV,,,
Moreau2141_GBOOKS,isni:0000000383255772,,Louis XIV,,,
Moreau2119_GBOOKS,isni:0000000121223121,,,Jules,Mazarin,
Moreau2198_GBOOKS,isni:0000000039582088,,,Nicolas,Mercier de Poissy,
Moreau2105_GBOOKS,isni:0000000121428928,,"Charles IV, duc de Lorraine",,,
Moreau2169_GBOOKS,isni:0000000383255772,,Louis XIV,,,
Moreau2200_GBOOKS,isni:0000000122776772,,,Honorat Bueil de,Racan,
Moreau2142_GBOOKS,isni:0000000383255772,,Louis XIV,,,
Moreau2175_GBOOKS,isni:0000000383255772,,Louis XIV,,,
Moreau2106_GBOOKS,isni:0000000121428928,,"Charles IV, duc de Lorraine",,,
Moreau2131_GBOOKS,isni:0000000061291738,,,Thomas-François de,Savoie-Carignan,
Moreau2187_GBOOKS,isni:0000000383255772,,Louis XIV,,,
Moreau2161_GBOOKS,isni:0000000383255772,,Louis XIV,,,
Moreau2103_GBOOKS,isni:0000000121428928,,"Charles IV, duc de Lorraine",,,
Moreau2128_GBOOKS,,,,Père Michel de,Grosbois ou Camldoli,
Moreau2163_MAZ,isni:0000000383255772,,Louis XIV,,,
Moreau2147_GBOOKS,isni:0000000118675506,,Charles II d'Angleterre,,,
Moreau2197_MAZ,isni:0000000383255772,,Louis XIV,,,
Moreau2194_GBOOKS,,,,,,
Moreau2109_GBOOKS,isni:0000000121428928,,"Charles IV, duc de Lorraine",,,
Moreau2135_MAZ,isni:0000000383255772,,Louis XIV,,,
Moreau2118_GBOOKS,isni:0000000083439713,,,Henri de La Tour D'Auvergne de,Turenne,
Moreau2166_GBOOKS,isni:0000000383255772,,Louis XIV,,,
Moreau2180_GBOOKS,isni:0000000383255772,,Louis XIV,,,
Moreau2154_GBOOKS,isni:0000000383255772,,Louis XIV,,,
Moreau2101_GBOOKS,isni:0000000061191892,,,Luis,Méndez de Haro,
Moreau2136_GBOOKS,isni:0000000383255772,,Louis XIV,,,
Moreau2110_GBOOKS,isni:0000000121428928,,"Charles IV, duc de Lorraine",,,
Moreau2145_GBOOKS,isni:0000000373848590,,Philippe IV d'Espagne,,,
Moreau2172_GBOOKS,isni:0000000383255772,,Louis XIV,,,
Moreau2159_GBOOKS,isni:0000000383255772,,Louis XIV,,,
Moreau2124_MAZ,isni:0000000119572170,Parlement de Bordeaux,,,,
Moreau3154_GBOOKS,,,,,,
Moreau3163_GBOOKS,,,,,,
Moreau3148_GBOOKS,,,,,,
Moreau3180_GBOOKS,,,,,,
Moreau3137_MAZ,,,,,,
Moreau3127_MAZ,,,,,,
Moreau3191_GBOOKS,,,,,,
Moreau3110_GBOOKS,,,,,,
Moreau3162_MAZ,,,,,,
Moreau3177_GBOOKS,,,,,,
Moreau3122_GBOOKS,,,,,,
Moreau3188_GBOOKS,,,,,,
Moreau3104_GBOOKS,,,,,,
Moreau3151_GBOOKS,,,,,,
Moreau3118_GBOOKS,,,,,,
Moreau3156_GBOOKS,,,,,,
Moreau3170_GBOOKS,,,,,,
Moreau3125_GBOOKS,,,,,,
Moreau3139_GBOOKS,,,,,,
Moreau3117_GBOOKS,,,,,,
Moreau3120_GBOOKS,,,,,,
Moreau3200_GBOOKS,,,,,,
Moreau3196_GBOOKS,,,,,,
Moreau3103_GALL,,,,,,
Moreau3106_GBOOKS,,,,,,
Moreau3153_GBOOKS,,,,,,
Moreau3164_GBOOKS,,,,,,
Moreau3195_GBOOKS,,,,,,
Moreau3190_MAZ,,,,,,
Moreau3108_GBOOKS,,,,,,
Moreau3189_GBOOKS,,,,,,
Moreau3176_GBOOKS,,,,,,
Moreau3114_GBOOKS,,,,,,
Moreau3132_GBOOKS,,,,,,
Moreau3199_MAZ,,,,,,
Moreau3167_GBOOKS,,,,,,
Moreau3142_MAZ,isni:0000000007839117,,,Pierre,Lenet,
Moreau3119_GBOOKS,,,,,,
Moreau3184_GBOOKS,,,,,,
Moreau3181_GBOOKS,,,,,,
Moreau3149_GBOOKS,,,,,,
Moreau3144_GBOOKS,,,,,,
Moreau3165_MAZ,,,,,,
Moreau3111_GBOOKS,,,,,,
Moreau3126_GBOOKS,,,,,,
Moreau3141_MAZ,,,,,,
Moreau3174_GBOOKS,,,,,,
Moreau3143_GBOOKS,,,,,,
Moreau3121_GBOOKS,,,,,,
Moreau3179_GBOOKS,,,,,,
Moreau3186_GBOOKS,,,,,,
Moreau3198_GALL,,,,,,
Moreau3130_GBOOKS,,,,,,
Moreau3152_GBOOKS,,,,,,
Moreau3129_GBOOKS,,,,,,
Moreau3166_MAZ,,,,,,
Moreau3146_GBOOKS,,,,,,
Moreau3138_GBOOKS,isni:0000000108368078,,,César de,Choiseul du Plessis-Praslin,
Moreau3192_GBOOKS,,,,,,
Moreau3654_GBOOKS,,,,,,
Moreau3601_GBOOKS,,,,,,
Moreau3609_GALL,,,,,,
Moreau3627_GBOOKS,,,,,,
Moreau3615_GBOOKS,,,,,,
Moreau3687_GALL,,,,,,
Moreau3640_GBOOKS,,,Sieur du Crest,,,
Moreau3688_GBOOKS,,,,,,
Moreau3669_GALL,,,,,,
Moreau3604_GBOOKS,,,,,,
Moreau3633_GBOOKS,,,,,,
Moreau3685_GBOOKS,,,,,,
Moreau3679_MAZ,,,,,,
Moreau3628_GBOOKS,,,,,,
Moreau3682_GBOOKS,,,,,,
Moreau3661_GBOOKS,,,,,,
Moreau3656_GBOOKS,isni:0000000122809183,,,François,Faure,
Moreau3672_MAZ,,,,,,
Moreau3634_GBOOKS,isni:0000000083438411,,,Claude,Joly,
Moreau3612_GBOOKS,isni:0000000121391096,,Léopold-Guillaume de Habsbourg,,,
Moreau3693_GBOOKS,,,,,,V. R.
Moreau3617_GBOOKS,isni:0000000121209573,,,"Louis II de Bourbon, prince de",Condé,
Moreau3675_GBOOKS,,,,,,
Moreau3678_GALL,,,,,,
Moreau3663_MAZ,isni:0000000119302891,,,Armand de Bourbon,Conti,
Moreau3631_GBOOKS,,,,,,
Moreau3666_MAZ,,,,,,
Moreau3608_GBOOKS,isni:0000000121755355,Parlement de Paris,,,,
Moreau3700_GBOOKS,,,,,,
Moreau3623_GBOOKS,,,,,,
Moreau3614_GBOOKS,isni:000000012131180X,,,"Henri de Lorraine, duc de",Guise,
Moreau3667_GBOOKS,,,,,,
Moreau3632_GBOOKS,,,,,,
Moreau3660_GALL,,,,,,
Moreau3684_GBOOKS,,,,,,G. D.
Moreau3698_GALL,,,,,,
Moreau3681_GBOOKS,,,,,,
Moreau3690_GBOOKS,isni:0000000122780448,,,Francçois-Eudes de,Mézeray,
Moreau3611_GBOOKS,,,,,,
Moreau3626_GBOOKS,,,,,,
Moreau3648_MAZ,isni:0000000061237731,,,Anthyme Denis,Cohon,
Moreau3692_GALL,isni:000000008377567X,,,Pierre,Perrin,
Moreau3674_GBOOKS,,,,,,
Moreau3668_GBOOKS,,,,,,
Moreau3607_MAZ,,,,,,
Moreau3686_GBOOKS,,,,,,
Moreau3665_GBOOKS,,,,,,
Moreau3630_GBOOKS,,,,,,
Moreau3695_GALL,isni:0000000381379333,,,Salomon de,Priezac,
Moreau3683_GBOOKS,,,,,,T. T.
Moreau3629_GBOOKS,,,,,,
Moreau3652_GALL,,,,,,F.E.C.C.
Moreau3657_GBOOKS,,,,,,Sieur B.
Moreau3689_GALL,,,,,,
Moreau3635_GBOOKS,,,,,,
Moreau3671_GBOOKS,,,,,,
Moreau3638_GBOOKS,,,,,,
Moreau3620_MAZ,isni:0000000121002759,,,Claude,Du Bosc de Montandré,
Moreau3659_GALL,,,,,,
Moreau2601_GALL,,,,,,
Moreau2692_GALL,,,,,,
Moreau2629_GBOOKS,,Connétablie et maréchaussée de France,,,,
Moreau2641_MAZ,,,,,,
Moreau2633_MAZ,,,,,,
Moreau2667_MAZ,viaf:151705504,Prévôté des marchands,,,,
Moreau2677_MAZ,isni:0000000121002759,,,Claude,Du Bosc de Montandré,
Moreau2642_GALL,,,,,,
Moreau2635_GALL,,,,,,
Moreau2634_GALL,,,,,,
Moreau2684_GALL,isni:0000000114743022,,,Nicolas,Jamin,
Moreau2668_GBOOKS,isni:0000000039582088,,,Nicolas,Mercier de Poissy,
Moreau2685_GALL,,,,,,
Moreau2666_MAZ,isni:000000035487606X,,,Henri Stuart,Bonair,
Moreau2607_GBOOKS,,,,,,D. L. B. E.
Moreau2679_GBOOKS,isni:0000000039582088,,,Nicolas,Mercier de Poissy,
Moreau2674_MAZ,isni:0000000107855085,,,Marc de,Vulson de La Colombière,
Moreau2683_GALL,,,,,,
Moreau2649_GBOOKS,,,,,,
Moreau2637_GBOOKS,,,,,,
Moreau2658_GBOOKS,,,,,,
Moreau2694_GALL,,,,,,
Moreau2689_GBOOKS,,,,,,
Moreau2688_MAZ,,,,,,
Moreau2698_MAZ,,,,,,
Moreau2617_MAZ,isni:0000000383255772,,Louis XIV,,,
Moreau2676pp26-32_GBOOKS,,,,,,
Moreau2605_GBOOKS,,,,,,
Moreau2638_MAZ,isni:0000000122493086,,,Jacques Carpentier de,Marigny,
Moreau2656_GALL,,,,,,
Moreau2657_GALL,isni:0000000062449891,,,Charlotte,Henault,
Moreau2660_MAZ,isni:0000000039582088,,,Nicolas,Mercier de Poissy,
Moreau2675_GBOOKS,,,,,,
Moreau2687_GALL,,,,,,
Moreau2678_GBOOKS,,,,,,
Moreau2662_GALL,,,,,,L. A. P.
Moreau2669_MAZ,isni:0000000391335916,,,N.,Rozard,
Moreau2625_MAZ,isni:0000000383255772,,Louis XIV,,,
Moreau2603_GBOOKS,,,,,,
Moreau2647_MAZ,,,,,,
Moreau2628_GBOOKS,isni:0000000383255772,,Louis XIV,,,
Moreau2602_GALL,,,,,,
Moreau2693_GBOOKS,,,,,,
Moreau2661_MAZ,,,,,,
Moreau2645_MAZ,,,,,,
Moreau2655_MAZ,,,,,,
Moreau2697_GALL,,,,,,
Moreau2604_GBOOKS,,,,,,
Moreau2651_GBOOKS,,,,,,
Moreau2673_MAZ,isni:0000000107855085,,,Marc de,Vulson de La Colombière,
Moreau2680_GBOOKS,,,,,,S. P. P.
Moreau2636_GBOOKS,,,,,,
Moreau2663_GBOOKS,,,,,,
Moreau2672_GBOOKS,,,,,,
Moreau3932_MAZ,,,,,,
Moreau3919_GBOOKS,viaf:309700747,,Sieur de Carigny ,,,P. D. P. P.
Moreau3905_GBOOKS,,Assemblée de la noblesse,,,,
Moreau3950_GBOOKS,,,,,,
Moreau3941_GBOOKS,,,,,,
Moreau3948_MAZ,,,,,,
Moreau3973_GBOOKS,,,,,,
Moreau3911_GBOOKS,,,,,,
Moreau3923_MAZ,isni:0000000039582088,,,Nicolas,Mercier de Poissy,
Moreau3951_MAZ,isni:0000000121204991,,,Mathieu,Molé,
Moreau3937_GBOOKS,isni:0000000121441815,,,Jean-François Paul de,Gondi de Retz,
Moreau3955_GBOOKS,isni:0000000383255772,,Louis XIV,,,
Moreau3907_GBOOKS,isni:0000000480502587,Parlement de Normandie,,,,
Moreau3986_GBOOKS,,,,,,
Moreau3979_GBOOKS,isni:0000000061693956,,,H. de,Barrois,H. De B.P.D.
Moreau3998_MAZ,isni:0000000121002759,,,Claude,Du Bosc de Montandré,
Moreau3997_GBOOKS,,,,,,
Moreau3974_GBOOKS,,,,,,
Moreau3921_GBOOKS,isni:0000000121755355,Parlement de Paris,,,,
Moreau3916_GBOOKS,,,,,,
Moreau3992_GBOOKS,,,,,,M.E.G.E.N.R.S.
Moreau3930_MAZ,,,,,,
Moreau3938_GBOOKS,,,,,,
Moreau3924_GBOOKS,,,,,,
Moreau3902_GBOOKS,,,,,,
Moreau3960_GBOOKS,isni:0000000121430729,,,Henri,Duplessis-Guénégaud,
Moreau3987_GALL,,,,,,
Moreau3915_GALL,,,,,,
Moreau3964_MAZ,isni:0000000025438667,,,Jean,Duval,
Moreau3945_GBOOKS,,,,,,
Moreau3927_GBOOKS,,,,,,
Moreau3910_GBOOKS,,,,,,
Moreau3995_MAZ,isni:000000001027361X,,,Louis,Machon,
Moreau3985_MAZ,isni:0000000121209573,,,"Louis II de Bourbon, prince de",Condé,
Moreau3940-bad_GBOOKS,isni:0000000121755355,Parlement de Paris,,,,
Moreau3947_MAZ,isni:0000000121002759,,,Claude,Du Bosc de Montandré,
Moreau3936_GBOOKS,isni:0000000121391096,,Léopold-Guillaume de Habsbourg,,,
Moreau3963_GBOOKS,viaf:256498216,,,Paul,Boyer du Petit-Puy,B.E.S.D.P.P.
Moreau3918_GBOOKS,,,,,,
Moreau3933_GBOOKS,,,Alexis,,,
Moreau3904_GBOOKS,,,,,,
Moreau3977_GBOOKS,isni:0000000119572170,Parlement de Bordeaux,,,,
Moreau3952_GALL,,,,,,
Moreau3922_GBOOKS,isni:0000000121441815,,,Jean-François Paul de,Gondi de Retz,
Moreau3984_GALL,,,,,,
Moreau3917_GALL,isni:0000000081559834,,,François,Davenne,François Davant
Moreau3912_GBOOKS,,,,,,
Moreau3925_GBOOKS,,,,,,
Moreau3962_MAZ,isni:0000000121204991,,,Mathieu,Molé,
Moreau3934_GBOOKS,,,,,,
Moreau3903_GBOOKS,,,,,,
Moreau3961_GBOOKS,,,,,,
Moreau3906_GBOOKS,,,,,,
Moreau3993_GALL,,,,,,
Moreau3901_MAZ,isni:0000000121002759,,,Claude,Du Bosc de Montandré,
Moreau3996_GBOOKS,,,,,,
Moreau3969_GBOOKS,isni:000000001027361X,,,Louis,Machon,A. B. C.
Moreau3942_GBOOKS,isni:0000000121209573,,,"Louis II de Bourbon, prince de",Condé,
Moreau3975_GBOOKS,,,,,,
Moreau3935_GALL,,,,,,
Moreau3920_GBOOKS,isni:0000000121755355,Parlement de Paris,,,,
Moreau1455_GALL,isni:0000000500051905,,,,,Pomphollis
Moreau1499_GBOOKS,,,,,,
Moreau1431_MAZ,,,,,,
Moreau1415_GBOOKS,,,,,,
Moreau1488_GBOOKS,,,,,,
Moreau1416_GALL,isni:0000000354372232,,,Matthieu,Du Bos,
Moreau1427_GBOOKS,isni:0000000122780448,,,Francçois-Eudes de,Mézeray,
Moreau1491_GBOOKS,,,,,,
Moreau1471-i_MAZ,isni:0000000061345732,,,Jean,Loret,
Moreau1463_GBOOKS,,,,,,
Moreau1406_GBOOKS,,,,,,
Moreau1464_GBOOKS,,,,,,
Moreau1404_MAZ,,,,,,
Moreau1487_GBOOKS,,,,,,
Moreau1496_GBOOKS,,,,,,
Moreau1475_GBOOKS,,,,,,
Moreau1442_GBOOKS,,,,,,
Moreau1417_GBOOKS,,,,,,
Moreau1439_GALL,,,Laisné,,,
Moreau1471-iii_MAZ,isni:0000000061345732,,,Jean,Loret,
Moreau1424_GALL,,,,,,R. G.
Moreau1470_GBOOKS,,,,,,
Moreau1425_GBOOKS,,,,,,
Moreau1403_GBOOKS,,,,,,
Moreau1434_GBOOKS,,,,,,
Moreau1477_MAZ,viaf:256498216,,,Paul,Boyer du Petit-Puy,
Moreau1428_GBOOKS,,,,,,
Moreau1448_MAZ,,,,,,
Moreau1471-v_MAZ,isni:0000000061345732,,,Jean,Loret,
Moreau1482_GBOOKS,,,,,,
Moreau1473_GBOOKS,,,,,,
Moreau1472_MAZ,isni:0000000061345732,,,Jean,Loret,
Moreau1410_MAZ,,,,,,
Moreau1490_GBOOKS,,,,,,
Moreau1483-bad_GBOOKS,,,,,,
Moreau1449_GBOOKS,,,,,,
Moreau1462_GBOOKS,isni:0000000114743022,,,Nicolas,Jamin,
Moreau1484_GBOOKS,,,,,,
Moreau1432_GBOOKS,isni:0000000108887898,,,Jacques,Brousse,
Moreau1450_GBOOKS,,,,,,
Moreau1498_GBOOKS,,,,,,
Moreau1471-iv_MAZ,isni:0000000061345732,,,Jean,Loret,
Moreau1441_GBOOKS,,,,,,
Moreau1423_GBOOKS,,,,,,
Moreau1469_GALL,,,,,,Auteur de la Gazette des Halles
Moreau1408_GBOOKS,,,,,,
Moreau1401_MAZ,isni:0000000121002759,,,Claude,Du Bosc de Montandré,
Moreau1452-i_MAZ,isni:0000000080867659,,,Isaac de,Laffemas,
Moreau1447_MAZ,isni:0000000121002759,,,Claude,Du Bosc de Montandré,
Moreau1438_GBOOKS,,,,,,
Moreau1435_MAZ,,,,,,
Moreau1500_MAZ,,,,,,
Moreau1413_GBOOKS,,,,,,
Moreau1419_GALL,,,,,,
Moreau1402_GBOOKS,,,,,,
Moreau1460_GBOOKS,,,,,,
Moreau1457_GBOOKS,,,,,,
