id,nom,prenom,surnom,role
,,,,
viaf:118157883028860442880,['de La Rallière'],['Samuel Gaudon'],,
viaf:52930938,"[""Henriette-Marie, reine d'Angleterre""]",,,speaker
viaf:201154261,['de Pontac'],['Arnaud'],,
isni:0000000119572170,['le Parlement de Bordeaux'],,,
isni:0000000109170813,"[""Anne-Marie-Louise-Henriette d'Orléans, duchesse de Montpensier""]",,,speaker
isni:0000000121755355,['France. Parlement de Paris'],,,
isni:0000000121204991,['Molé'],['Mathieu'],,
isni:0000000055360231,"[""Anne d'Autriche""]",,,speaker
isni:0000000121223121,['Mazarin'],['Jules'],,speaker
isni:0000000121029388,['Louis XII'],,,speaker
viaf:89748824,['Innocent X'],,,speaker
idref:066967449,['Fairfax'],['Thomas'],,speaker
isni:0000000115684570,['Godeau'],['Antoine'],,
isni:000000012114268X,['ville de Paris'],,,speaker
isni:0000000021194458,['La Trémoille'],['Louis de'],,
isni:0000000060964048,['La Mothe-Houdancourt'],['Philippe de'],,
isni:0000000392563187,['Cossé-Brissac'],['Louis de'],,
isni:0000000061255622,['Bouillon'],"[""Frédéric-Maurice de La Tour d'Auvergne""]",,
isni:0000000038603641,['Lorraine'],['Charles II de'],,
isni:000000012095909X,['Beaufort'],['François de Bourbon-Vendôme'],,
isni:0000000121350921,['Longueville II'],['Henri'],,
isni:0000000119302891,['Conti'],['Armand de Bourbon'],,
isni:0000000078200193,['Le Laboureur'],['Louis'],,alleged_author
isni:0000000063004827,['Pasquier'],['Nicolas'],,
isni:0000000109064340,['de Gonzague'],['Louise-Marie'],,speaker
isni:000000001027361X,['Machon'],['Louis'],,
isni:0000000383255772,['Louis XIV'],,,speaker
isni:0000000081559834,['Davenne'],['François'],,alleged_author
isni:0000000000707402,"[""L'Escalopier""]",['Nicolas'],,
viaf:34495750,['de Choiseul du Plessis-Praslain'],['Gilbert'],,
isni:000000011940779X,['la Chambre des comptes'],,,
isni:0000000112972841,['de Bergerac'],['Cyrano'],,
idref:258436220,['de Fiesque'],['Charles'],,
isni:0000000367213580,['Sassier'],['Guillaume'],,alleged_author
isni:0000000121209573,['Condé'],['Louis de Bourbon'],,
isni:0000000115476931,['Cour des aides'],,,
isni:0000000107259769,['Chambre des comptes'],,,
isni:0000000061437987,['Magnien'],['Charles'],,
isni:0000000120990126,['Scarron'],['Paul'],,
isni:0000000117975435,['Colletet'],['François'],,
isni:0000000121441372,['Scudéry'],['Georges de'],,
isni:0000000083438411,['Joly'],['Claude'],,
isni:0000000480502587,['Parlement de Rouen'],,,
viaf:151705504,['Prévôté des Marchands'],,,
isni:0000000108417300,"['Foucault, comte du Dognon.']",['Louis de'],,
viaf:72157882925160442041,['Burnel'],['Jean'],,
viaf:293153409726341580109,['Aubeterre'],"[""René Joseph d'""]",['L. S. D. N. L. S. C. E. T.'],alleged_author
isni:0000000363476973,['Amelot'],['Jacques'],,alleged_author
isni:0000000122493086,['Carpentier de Marigny'],['Jacques'],,
isni:0000000121002759,['Du Bosc de Montandré'],['Claude'],,alleged_author
isni:0000000121174331,['Ferrand'],['David'],,alleged_author
isni:0000000061237731,['Cohon'],['Anthyme Denis'],,alleged_author
isni:0000000044832029,['Billaut'],['Adam'],,alleged_author
isni:0000000396445268,['Sarasin'],['Jean-François'],,alleged_author
isni:0000000115879407,['Voiture'],['Vincent'],,
isni:0000000121336441,['Orléans'],['Gaston'],,
isni:0000000106554782,['Condé'],['Charlotte-Marguerite de Montmorency'],,
viaf:619160483810604991686,['Veyras'],['Claude'],,
isni:0000000054900937,['Du Teil'],['Jean'],,
isni:0000000358085089,['De Bardouville'],,,alleged_author
isni:0000000121441815,['de Gondi de Retz'],['Jean-François'],,
isni:0000000108378014,['Sieur de Sandricourt'],,,
isni:0000000121814044,['Eglise catholique. Diocèse'],,,
isni:0000000121754977,"[""France. Conseil d'État""]",,,
isni:0000000121259263,['Boisrobert'],['François Le Métel de'],,
isni:0000000121393331,['Naudé'],['Gabriel'],,
isni:0000000106573561,['France. Parlement de Dauphiné'],,,
viaf:1592152636232020052692,['Fromont'],['Roger-François de'],,
viaf:185600913,"[""France. Chambre de l'édit de Castres""]",,,
viaf:197152636131120050897,['Saintot'],['Nicolas de'],,
isni:0000000123225884,['France. Parlement de Bretagne'],,,
isni:0000000138970027,['Mittannour du Four'],['Jean'],,
isni:0000000118675506,['Charles II'],,,
isni:0000000123209622,['Charles I'],,,
isni:0000000081702805,['Suckling'],['John'],,
isni:0000000062998962,['Grebner'],['Paul'],,
isni:0000000061333950,['Épernon'],['Bernard de Nogaret de La Valette'],,
isni:0000000121391096,['Habsbourg (De)'],['Léopold-Guillaume'],,
isni:0000000121430729,['Plessis-Guénégaud'],['Henri du'],,
isni:0000000025438667,['Duval'],['Jean'],,
viaf:309700747,,,"['P.D.P.P., Sieur de Carigny']",
isni:0000000039582088,['Mercier de Poissy'],['Nicolas'],,
viaf:256498216,['Boyer du Petit-Puy'],['Paul'],['B.E.S.D.P.P.'],
