author_id;orgName;persName;forename;surname;addname
idref:066967449;;;Thomas;Fairfax;
idref:069054215;;;Gabriel;Fournier;
idref:258436220;;;Charles de;Fiesque;
idref:259333263;;Sieur Girau;;;
idref:260745049;;;Thierry;Charpentier;
isni:0000000000029242;;;Claude-Charles de L'Aubespine;Verderonne;
isni:0000000000029242;;;Claude-Charles de l'Aubespine;Verderonne;
isni:0000000000127336;;;Jean;Jobert;J. A. D.
isni:0000000000707402;;;Nicolas;L'Escalopier;
isni:000000000171919X;;;François-Théodore;de Nesmond;
isni:0000000001771393;;;Nicolas;Vauquelin des Yveteaux;
isni:0000000002548871;;;Jacques;Le Coigneux;
isni:0000000003147076;;;Abel;Servien;
isni:0000000007839117;;;Pierre;Lenet;
isni:000000001027361X;;;Louis;Machon;
isni:0000000021194458;;;Louis de;La Tremoïlle de Noirmoutier;
isni:0000000025438667;;;Jean;Duval;
isni:0000000030405659;;;Marco Flaminio;Pepoli;
isni:0000000030799467;;;Isaac;Loppin;
isni:0000000031460772;;;César de;Vendôme;
isni:0000000034659998;;;Claire-Clémence;Maillé-Brézé de;
isni:000000003576364X;;;Antoine Fouquet de;Croissy;
isni:0000000039582088;;;Nicolas;Mercier de Poissy;
isni:0000000044222562;;;René de;Bruc, marquis de Montplaisir;
isni:0000000044832029;;;Adam;Billaut;
isni:0000000054893167;;Peccot-Quanesi;;;
isni:0000000054895613;;Eberhard III, duc de Wurtemberg;;;
isni:0000000054900937;;;Jean;Du Teil;
isni:0000000055360231;;Anne d'Autriche;;;
isni:0000000056461034;;;Louis;Richer;
isni:0000000061191892;;;Luis;Méndez de Haro;
isni:0000000061237731;;;Anthyme Denis;Cohon;
isni:0000000061255622;;;Frédéric-Maurice de La Tour d'Auvergne, duc de;Bouillon;
isni:0000000061291738;;;Thomas-François de;Savoie-Carignan;
isni:000000006129535X;;;Marguerite de;Lorraine;
isni:0000000061333950;;;Bernard de Nogaret de La Valette, duc d';Épernon;
isni:0000000061345732;;;Jean;Loret;
isni:0000000061366576;;;Abel;Servien;
isni:0000000061367368;;;Robert;Luyt;
isni:0000000061373231;;;Suzanne de;Nervèze;
isni:0000000061378091;;;François;Le Vautier;
isni:0000000061380087;;;Charles Amédée de;Savoie-Nemours;
isni:0000000061383077;;;Louis de Bourbon-Vendôme, duc de;Mercoeur;
isni:0000000061384678;;;Jacques;Mengau;
isni:0000000061389452;;;Jacques de;Lescornay;
isni:0000000061399271;;;Olivier;Patru;
isni:0000000061406291;;;Mathurin;Questier;
isni:0000000061408668;;;;Saint-Julien;
isni:0000000061430689;;;Georges;Pileur;
isni:0000000061436765;;;Antoine;Picot;
isni:0000000061437987;;;Charles;Magnien;
isni:0000000061693956;;;H. de;Barrois;
isni:0000000062449891;;;Charlotte;Henault;
isni:0000000062663425;;Sieur de Figuiere;;;
isni:0000000062801795;;;Gabriel de;Toledo;
isni:0000000062998962;;;Paul;Grebner;
isni:0000000063004827;;;Nicolas;Pasquier;
isni:0000000063037063;;;Laurent de;Laffemas;
isni:0000000063043308;;;;Longin-Toupin;
isni:0000000066455041;;;René de;Cerisiers;
isni:0000000073678147;;;Pierre;Du Pelletier;D. P.
isni:0000000077166413;;;Schering;Rosenhane;
isni:0000000078186360;;;Nicolas;Johannes;
isni:0000000078199903;;;Francesco Maria;Del Monaco;
isni:0000000078200193;;;Louis;Le Laboureur;
isni:0000000079725709;;;Armand Jean;Le Bouthillier de Rancé;Sieur I. B. D. L. R.
isni:0000000079764433;;Charles IX de Suède;;;
isni:0000000079773129;;;Antoine d';Aumont de Rochebaron;
isni:0000000079819537;;;Louis-François Le Fèvre de;Caumartin;
isni:0000000080154149;;;Henri-Auguste de;Loménie de Brienne;
isni:0000000080192698;;;Henri;Estienne;
isni:0000000080235723;;;Henri;Arnauld;
isni:0000000080815971;;;Gilles;Ménage;
isni:0000000080818398;;;Marie d'Orléans;Longueville de Nemours;Madamoiselle de Longueville
isni:0000000080867659;;;Isaac de;Laffemas;
isni:0000000080907163;;;Elisabeth;Stuart;
isni:0000000081559834;;;François;Davenne;
isni:0000000083391940;;;Jean de;Silhon;
isni:0000000083395220;;Nostradamamus;;;
isni:0000000083438411;;;Claude;Joly;
isni:0000000083439713;;;Henri de La Tour D'Auvergne de;Turenne;
isni:000000008377567X;;;Pierre;Perrin;
isni:0000000100694610;;;George d'Aubusson de;La Feuillade;
isni:0000000106554782;;;Charlotte-Marguerite de Montmorency, princesse de;Condé;
isni:0000000106573561;Parlement de Dauphiné;;;;
isni:0000000107729476;;;Antoine;Aubery;
isni:0000000107786462;;;Pierre du;Moulin;
isni:0000000107855085;;;Marc de;Vulson de La Colombière;
isni:0000000108156585;;;Guy;Joly;
isni:0000000108368078;;;César de;Choiseul du Plessis-Praslin;
isni:0000000108378014;;;;;Sieur de Sandricourt
isni:0000000108417300;;;Louis de;Foucault, comte du Dognon;
isni:0000000108485557;;;Bertrand d'Ostove de;Clenleu;
isni:0000000108628124;;;Omer;Talon;
isni:000000010863978X;;;James Butler, duc d';Ormonde;
isni:0000000108887898;;;Jacques;Brousse;
isni:0000000108917831;;;Charles;Ogier;
isni:0000000108985527;;;Paul;Hay du Chastelet;
isni:0000000109034731;;;Anne-Geneviève de Bourbon-Condé, duchesse de;Longueville;Madame de Longueville
isni:0000000109064340;;;Louise-Marie de;Gonzague;
isni:0000000109170813;;;Anne-Marie-Louise d’Orléans, duchesse de;Montpensier;La Grande Mademoiselle
isni:0000000110257852;;;Roger de;Bussy-Rabutin;
isni:0000000110344972;;;Daniel;Hay du Chastelet, abbé de Chambon;E. B. P.
isni:0000000110570750;;;Pierre de;Saint-Joseph;R. P. D. P. D. S. I.
isni:0000000110630725;;;Joseph de;Margarit, marquis d'Aguilar;
isni:0000000110632827;;;Nicolas;Caussin;
isni:0000000110638153;;;Isaac de;La Peyrère;
isni:0000000112298199;;Christine de Suède;;;
isni:0000000112972841;;;Savinien de;Cyrano de Bergerac;
isni:0000000114443046;;;Jean-Louis Guez de;Balzac;
isni:0000000114743022;;;Nicolas;Jamin;
isni:0000000115476931;Cour des aides;;;;
isni:0000000115684570;;;Antoine;Godeau;
isni:0000000115879407;;;Vincent;Voiture;
isni:0000000116087049;;;Hercule de;Rohan;
isni:0000000116103555;;Mehmed IV;;;
isni:0000000116518769;;;Guy;Patin;
isni:0000000116558234;;Charles Ier d'Angleterre;;;
isni:0000000116952813;;;Louis Moreau;Du Bail;
isni:0000000117687804;;;Henri II de Bourbon, prince de;Condé;
isni:000000011773827X;;;Charles de L’Aubespine, marquis de;Châteauneuf;
isni:0000000117829702;;;Jacques;Amelot de Mauregard;
isni:0000000117975435;;;François;Colletet;
isni:0000000118096563;;;Jean-François;Sarasin;
isni:0000000118675506;;Charles II d'Angleterre;;;
isni:0000000118756621;;;Claire-Clémence de Maillé-Brézé, princesse de;Condé;
isni:000000011884471X;;;Gaspard IV de;Coligny, duc de Châtillon;
isni:0000000119302891;;;Armand de Bourbon;Conti;
isni:000000011940779X;Chambre des comptes;;;;
isni:0000000119572170;Parlement de Bordeaux;;;;
isni:0000000119579284;Parlement de Dijon;;;;
isni:0000000120291384;;;Antoine;Brun;
isni:000000012095909X;;;François de Bourbon-Vendôme, duc de;Beaufort;
isni:0000000120990126;;;Paul;Scarron;
isni:0000000121002759;;;Claude;Du Bosc de Montandré;
isni:0000000121018654;;Louis XIII;;;
isni:0000000121024624;;;Mathieu de;Morgues;
isni:0000000121029388;;Louis XII;;;
isni:000000012114268X;ville de Paris;;;;
isni:0000000121171069;;;Robert;Arnauld d'Andilly;
isni:0000000121174331;;;David;Ferrand;
isni:0000000121204991;;;Mathieu;Molé;
isni:0000000121209573;;;Louis II de Bourbon, prince de;Condé;
isni:0000000121223121;;;Jules;Mazarin;
isni:0000000121226728;;;Jacques;Le Gentil;
isni:0000000121259263;;;François Le Métel de;Boisrobert;
isni:000000012131180X;;;Henri II de Lorraine, duc de;Guise;
isni:0000000121327537;;;Hugues de;Lionne;
isni:0000000121336441;;Gaston d'Orléans;;;
isni:0000000121350921;;;Henri, duc de;Longueville;
isni:0000000121391096;;Léopold-Guillaume de Habsbourg;;;
isni:0000000121393331;;;Gabriel;Naudé;
isni:000000012141565X;;;Théophraste;Renaudot;
isni:0000000121428928;;Charles IV, duc de Lorraine;;;
isni:0000000121430729;;;Henri;Duplessis-Guénégaud;
isni:0000000121441372;;;Georges de;Scudéry;
isni:0000000121441815;;;Jean-François Paul de;Gondi de Retz;
isni:0000000121497560;;;Antonio;Barberini;
isni:0000000121732655;Parlement de Provence;;;;
isni:0000000121754977;Conseil d'État;;;;
isni:0000000121755355;Parlement de Paris;;;;
isni:0000000121801163;Parlement de Metz;;;;
isni:0000000121814044;Eglise catholique. Diocèse;;;;
isni:0000000122493086;;;Jacques Carpentier de;Marigny;
isni:0000000122776772;;;Honorat Bueil de;Racan;
isni:0000000122780448;;;Francçois-Eudes de;Mézeray;
isni:0000000122798701;;;Jacques de;Saulx;
isni:0000000122809183;;;François;Faure;
isni:0000000122905175;Parlement de Toulouse;;;;
isni:0000000123198599;;;Armand Jean du Plessis de;Richelieu;
isni:0000000123225884;Parlement de Bretagne;;;;
isni:0000000123455225;;;François de;L'Hôpital;
isni:0000000138970027;;;Jean;Mittannour du Four;
isni:0000000140417845;;;Claude de Chouvigny, baron de;Blot-l'Eglise;
isni:0000000140993797;;;Camille de;Neufville;
isni:0000000354372232;;;Matthieu;Du Bos;
isni:000000035487606X;;;Henri Stuart;Bonair;
isni:0000000358085089;;De Bardouville;;;
isni:0000000359658280;;;François de ;Pardieu d'Auremesnil;
isni:0000000363476973;;;Jacques;Amelot;
isni:0000000364711218;;;Etienne;Carneau;
isni:0000000365880267;;;Jacques;Cousinot;
isni:0000000367213580;;;Guillaume;Sassier;
isni:0000000367671864;;;Jean;Rousse;
isni:0000000373848590;;Philippe IV d'Espagne;;;
isni:0000000375032296;;;Jean;Douet;
isni:0000000376957725;;Pierre de la Mère de Dieu;;;
isni:0000000381379333;;;Salomon de;Priezac;
isni:0000000383255772;;Louis XIV;;;
isni:000000038974880X;;;N.;Rozard;Sieur Drazor Champenois
isni:0000000391335916;;;N.;Rozard;N. R., Champenois
isni:0000000391629279;;;J.-C. de;Lorme;
isni:0000000393482485;;;Jacques;Fonteneil;
isni:0000000394631817;;;;;de Lavalise
isni:0000000396445268;;;Jean-François;Sarasin;
isni:0000000403592312;;;Jean;Rozard;J. R.
isni:0000000416370823;;;Jacques de;Rouxel Grancey;
isni:0000000447083018;;Henriette-Marie de France, reine d'Angleterre;;;
isni:0000000450947585;;;Jean de;Schulemberg;
isni:0000000480502587;Parlement de Normandie;;;;
isni:0000000500051905;;;;;Pomphollis
isni:21146822065707380756;;;Jacques;Bonhomme;
isni:256498216;;;Paul;Boyer du Petit-Puy;P. B. E.
viaf:100157340588109920570;;;François;Catelan;
viaf:100263317;;;Jacques;Gaudin;
viaf:101155767472427761920;;;Antoine de;Saint-Sauflieu;
viaf:103161816318727721688;;;Jean-Augustin Foresta, marquis de;La Roquette;
viaf:118157883028860442880;;;Samuel Gaudon de;La Rallière;La Raillère
viaf:134159474315227662535;;;Henri d';Audiguier du Mazet;
viaf:146181410;;;Martin;Griveau;
viaf:147162060268851400361;;;Claude Parîs, seigneur de;Bellebat;
viaf:151705504;Prévôté des Marchands;;;;
viaf:1592152636232020052692;;;Roger-François de;Fromont;
viaf:162928407;;;Antoine II de;Nicolaï;
viaf:175162365843525461634;;;François;Allegrin;
viaf:188445941;;;Daniel;Voysin, sieur Du Plessis;
viaf:190692780;;;Jean-Jacques de;Barthes;
viaf:197152636131120050897;;;Nicolas de;Saintot;
viaf:202034862;;;;;Nichon du Marais
viaf:204736347;;;Paul;Mancini;
