id;title;author;author_id;publisher;publisher_id;date;pubPlace;pubPlace_id;pages;stamp
Moreau1504_GALL;Grand (le) ballet ou le Branle de sortie dansé sur le théâtre de la France par le cardinal Mazarin et par toute la suite des cardinalistes et mazarinistes. De l'impression de Bâle, en la boutique de maître Personne, à la rue Partout, à l'enseigne de la Vérité toute nue en hyver.;;;;;1651;Sans Lieu;geonames:2661604;20;True
Moreau2suppl125_GBOOKS;Lettre du maréchal de Turenne à la reyne.;La Tour (De), Henri;isni:0000000083439713;Stael, Michel;isni:0000000070610366;1650;La Haye;geonames:2747373;7;True
Moreau1973_GBOOKS;Lettre de M. Brun, ambassadeur pour Sa Majesté Catholique en Hollande, envoyée à messieurs du Parlement de Paris sur l'innocence de messieurs les princes contre les fourberies et calomnies de Mazarin.;Brun, Antoine;isni:0000000120291384;;;1650;La Haye;geonames:2747373;24;True
Moreau2506_GBOOKS;Motifs du traité de madame de Longueville et de monsieur de Turenne avec le roi catholique, revus et corrigés.;;;;;1650;La Haye;geonames:2747373;13;True
Moreau1950_GBOOKS;Lettre de madame la duchesse de Longueville au roi.;Bourbon-Condé (De), Anne-Geneviève;isni:0000000109034731;;;1650;Rotterdam;geonames:2747891;8;True
Moreau792_GBOOKS;Copie d’une lettre écrite à madame la duchesse de Longueville.;;;;;1650;Rotterdam;geonames:2747891;13;False
Moreau2028_GBOOKS;Lettre de monsieur le Prince à messieurs du Parlement.;Bourbon-Condé (De), Louis;isni:0000000121209573;Velpius, Hubert Antoine;isni:000000000028354X;1651;Paris;geonames:2800866;8;False
Moreau742_GBOOKS;Conférence (la) du cardinal Mazarin avec le gazetier;;;;;1649;Bruxelles;geonames:2802247;39;True
Moreau2805_MAZ;Poëme sur la barbe du prem.;;;;;1649;Bruxelles;geonames:2802247;6;False
Moreau2436_GBOOKS;La mazarinade;Scarron, Paul;isni:0000000120990126;;;1651;Bruxelles;geonames:2802247;24;False
Moreau1806_GALL;Larmes (les) mazarines.;;;;;1651;Bruxelles;geonames:2802247;7;True
Moreau2851_MAZ;Premier recueil de diverses pièces curieuses de ce temps.;;;;;1649;Sans Lieu;geonames:2802247;2;False
Moreau844_GALL;Crève-cœur (le) et les sanglots de monsieur le Prince, adressés à la France.;;;;;1650;Anvers;geonames:2803138;7;True
Moreau3853_GALL;Triolets (les) de Mazarin sur le sujet de sa fuite.;;;;;1651;Anvers;geonames:2803138;8;True
Moreau3853_GBOOKS;Triolets (les) de Mazarin sur le sujet de sa fuite.;;;;;1651;Anvers;geonames:2803138;8;True
Moreau3758_GALL;Tempérament (le) amphibologique des testicules de Mazarin, avec sa médecine par maître Jan (sic) Chapoli, son médecin ordinaire. Tales fuimus ex quibus nutrimus.;Chapoli, Jean;;;;1651;Cologne;geonames:2886242;8;True
Moreau2995_GALL;Le recit du grand combat donné entre deux dames de la ville de Cologne, & les deux niéces du cardinal Mazarin. Sur les affaires du temps present.;;;;;1651;Cologne;geonames:2886242;7;True
M15370_MAZ;;Naudé, Gabriel;isni:0000000121393331;Beckenstein, Simon;isni:0000000426655806;1654;Francfort;geonames:2925533;8;True
Moreau2suppl164_GBOOKS;Récit véritable de tout ce qui s’est fait et passé à la détention des princes de Condé et de Conty et duc de Longueville, avec les protestations de fidélité faites au roy sur ce sujet par les députez du parlement de Rouen.;;;Stael, Michel;;1650;Troyes;geonames:2971549;14;True
Moreau2811_GBOOKS;Politique (le) chrétien de Saint-Germain à la reine.;;;Poinsot, Jacques;;1649;Tours;geonames:2972191;8;False
Moreau2suppl111_GBOOKS;Lettre d'exhortation de M. Du Moulin, ministre à Sedan, escrile a monsieur le mareschal de Turenne à Stenay;Moulin (Du), Pierre;isni:0000000107786462;;;1650;Sedan;geonames:2975349;4;True
Moreau1986_MAZ;Lettre de M. le cardinal Mazarin au roi.;Mazarin, Jules;isni:0000000121223121;;;1652;Sedan;geonames:2975349;27;False
Moreau2143_GBOOKS;Lettre du roi aux prévôt des marchands et échevins de la ville de Paris, ensuite des articles arrêtés à Ruel le 11 mars 1649.;;isni:0000000383255772;;;1649;Paris;geonames:2979783;4;True
Moreau941_GBOOKS;Déclaration du roi, portant suppression de toutes les charges et offices dont sont pourvus les gens ci-devant tenant la cour de parlement de Paris, pour les causes y contenues.;De Bourbon, Louis;isni:0000000121209573;;;1649;Saint-Germain-En-Laye;geonames:2979783;8;True
Moreau919_GBOOKS;Déclaration du roi, par laquelle les princes, ducs, seigneurs et leurs adhérents qui ont pris les armes contre son service, sont déclarés criminels de lèze majesté, s’ils ne se rendent près de sa personne dans trois jours après la publication d’icelle.;De Bourbon, Louis;isni:0000000121209573;;;1649;Saint-Germain-En-Laye;geonames:2979783;7;False
Moreau918_GBOOKS;Déclaration du roi, par laquelle les présidiaux du ressort du parlement de Paris ont pouvoir de juger souverainement, tant en matière civile que criminelle.;De Bourbon, Louis;isni:0000000121209573;;;1649;Saint-Germain-En-Laye;geonames:2979783;4;True
Moreau912_GBOOKS;Déclaration du roi, du 3 février 1649, par laquelle sont donnés six jours aux habitants de Paris pour rentrer dans leur devoir.;De Bourbon, Louis;isni:0000000121209573;;;1649;Saint-Germain-En-Laye;geonames:2979783;4;True
Moreau917_GBOOKS;Déclaration du roi, par laquelle la séance du parlement de Paris est transférée en la ville de Montargis, avec interdiction de s'assembler, ni faire aucun acte de justice dans Paris;De Bourbon, Louis;isni:0000000121209573;;;1649;Saint-Germain-En-Laye;geonames:2979783;8;True
Moreau2141_GBOOKS;Lettre du roi aux gouverneurs des provinces sur ce qui s'est passé avec les députés venus de Paris, le 25 février 1649, et les réponses faites auxdits députés.;;isni:0000000383255772;;;1649;Saint-Germain-En-Laye;geonames:2979783;8;True
Moreau2142_GBOOKS;Lettre du roi aux prévôt des marchands, échevins et bourgeois de la ville de Paris, écrite le premier jour de février 1649.;;isni:0000000383255772;;;1649;Saint-Germain-En-Laye;geonames:2979783;4;True
Moreau1829_GBOOKS;Lettre circulaire pour la convocation des États généraux.;;isni:0000000383255772;;;1649;Saint-Germain-En-Laye;geonames:2979783;4;True
Moreau715_GALL;Combats donnés, sur le chemin de Paris à Charenton et à Brie-Comte-Robert, les 16 et 18 de ce mois.;;;;;1649;Saint-Germain-En-Laye;geonames:2979783;4;True
Moreau2870_GBOOKS;Prise (la) de Charenton par les troupes du roi, commandées par Son Altesse Royale, où huit régi ments de Paris ont été entièrement défaits.;;;;;1649;Saint-Germain-En-Laye;geonames:2979783;11;True
Moreau1005_GBOOKS;Déplorable mort (la) de Charles 1er, roi dela Grande- Bretagne.;;;;;1649;Saint-Germain-En-Laye;geonames:2979783;8;True
