id,n_start
Moreau13_GALL,2
Moreau17_GBOOKS,5
Moreau19_GBOOKS,2
Moreau20_GALL,2
Moreau27_MAZ,9
Moreau30_MAZ,9
Moreau39_GBOOKS,2
Moreau3_MAZ,9
Moreau42_MAZ,7
Moreau43_GBOOKS,5
Moreau46_GBOOKS,7
Moreau54_GBOOKS,2
Moreau59_MAZ,8
Moreau5_GALL,2
Moreau69_GBOOKS,6
Moreau73_GALL,3
Moreau74_GALL,2
Moreau81_MAZ,9
Moreau83_MAZ,9
Moreau85_GBOOKS,5
Moreau98_MAZ,9
Moreau1005_GBOOKS,6
Moreau1006_MAZ,9
Moreau1009_MAZ,9
Moreau1023_GBOOKS,5
Moreau1025_MAZ,9
Moreau1032_MAZ,9
Moreau1040_MAZ,9
Moreau1047_GBOOKS,2
Moreau1049_GALL,2
Moreau1056_GALL,2
Moreau1064_GALL,2
Moreau1066_MAZ,9
Moreau1071_MAZ,7
Moreau1072_MAZ,9
Moreau1077_GALL,2
Moreau1078_MAZ,9
Moreau1084_GALL,2
Moreau1085-i_MAZ,9
Moreau1085-ii_MAZ,9
Moreau1086_GALL,2
Moreau1093_MAZ,9
Moreau1096_GBOOKS,2
Moreau105_MAZ,9
Moreau113_GBOOKS,5
Moreau115_GALL,3
Moreau116_GALL,6
Moreau117_GBOOKS,5
Moreau118_GBOOKS,3
Moreau119_GALL,69
Moreau121_GALL,2
Moreau124_GALL,2
Moreau126_MAZ,9
Moreau127_MAZ,9
Moreau130_GBOOKS,3
Moreau131_MAZ,9
Moreau134_GALL,2
Moreau135_MAZ,9
Moreau137_GALL,2
Moreau143_GALL,3
Moreau144_MAZ,9
Moreau146_MAZ,9
Moreau147_MAZ,9
Moreau148_MAZ,9
Moreau150_MAZ,9
Moreau151_MAZ,9
Moreau153_MAZ,8
Moreau157_MAZ,9
Moreau158_MAZ,9
Moreau161_MAZ,9
Moreau163_MAZ,9
Moreau164_MAZ,9
Moreau166_MAZ,9
Moreau167_MAZ,9
Moreau168_MAZ,9
Moreau169_MAZ,9
Moreau171_MAZ,9
Moreau177_MAZ,9
Moreau178_MAZ,9
Moreau179_MAZ,9
Moreau180_MAZ,9
Moreau181_MAZ,9
Moreau182_MAZ,9
Moreau184_MAZ,9
Moreau186_MAZ,9
Moreau187_MAZ,9
Moreau188_MAZ,9
Moreau189_MAZ,9
Moreau190_MAZ,9
Moreau192_MAZ,9
Moreau194_MAZ,9
Moreau195_MAZ,9
Moreau196_MAZ,9
Moreau197_MAZ,9
Moreau198_MAZ,9
