file,reviewed_status,corrected_before,remark
Moreau18_GBOOKS.xml,Y,N,NA
Moreau32_GBOOKS.xml,Y,N,Latin/Greek. To get proofread.
Moreau42_MAZ.xml,Y,N,NA
Moreau47_GBOOKS.xml,Y,N,NA
Moreau68_GALL.xml,Y,N,handwritten note at the beginning that was not transcribed.
Moreau70_GBOOKS.xml,Y,N,some parts of the OCR are illegible
Moreau72_GBOOKS.xml,Y,N,numbering starting at 3 even though it started at 1 in the pdf
Moreau87_GBOOKS.xml,Y,N,NA
Moreau8_GBOOKS.xml,Y,N,NA
Moreau90_GBOOKS.xml,Y,N,NA
Moreau96_GBOOKS.xml,Y,N,numbering starting at 1 even though it started at 3 in the document
Moreau98_MAZ.xml,Y,N,NA
